Name,GENC,Year,Population,Male Population,Female Population,Annual Growth Rate,Population Density,"Median Age, Both Sexes","Median Age, Females","Median Age, Males",Total Fertility Rate,"Life Expectancy at Birth, Both Sexes","Life Expectancy at Birth, Males","Life Expectancy at Birth, Females","Infant Mortality Rate, Both Sexes","Infant Mortality Rate, Male","Infant Mortality Rate, Female"
Bahrain,BH,1995,"582,068","333,212","248,856",2.48,765.9,25.9,22.8,28,3.09,73.2,71.1,75.3,19.7,22.8,16.5
Kuwait,KW,1995,"1,664,326","961,411","702,915",5.41,93.4,26,22.4,28.1,3.1,73.4,72,74.8,11.5,12.5,10.5
Oman,OM,1995,"2,138,564","1,239,069","899,495",2.88,6.9,19.7,16,23.6,5.43,70.3,68.6,72.1,25.5,26.6,24.4
Qatar,QA,1995,"509,712","333,717","175,995",2.98,44,29,21,31.8,3.57,74.7,73.2,76.2,10.5,10.7,10.3
Saudi Arabia,SA,1995,"18,733,152","10,589,875","8,143,277",2.91,8.7,19.8,16.7,22.7,5.01,69.8,68.5,71.2,29.3,31.3,27.2
United Arab Emirates,AE,1995,"2,369,781","1,575,715","794,066",6.98,28.3,28,21.1,30.3,3.3,74.4,72.8,76,14.7,16.6,12.8
Bahrain,BH,1996,"596,466","341,249","255,217",2.41,784.8,26.2,23.2,28.2,2.99,73.5,71.4,75.6,18.9,22,15.8
Kuwait,KW,1996,"1,740,713","1,011,738","728,975",3.61,97.7,26.5,22.9,28.4,3.21,73.8,72.7,75,12,12,11.9
Oman,OM,1996,"2,199,643","1,268,939","930,704",2.76,7.1,19.7,16.3,23.4,5.13,70.5,68.8,72.3,25.1,26.2,23.9
Qatar,QA,1996,"524,831","342,912","181,919",2.87,45.3,29.1,21.2,31.9,3.45,74.9,73.4,76.5,10.2,10.6,9.9
Saudi Arabia,SA,1996,"19,275,315","10,903,493","8,371,822",2.8,9,20,16.9,22.9,4.85,70.3,69,71.7,27.5,29.4,25.5
United Arab Emirates,AE,1996,"2,536,143","1,694,804","841,339",6.6,30.3,28.3,21.7,30.4,2.94,74.7,73.2,76.3,13.7,15.4,11.9
Bahrain,BH,1997,"610,845","349,275","261,570",2.36,803.7,26.5,23.5,28.4,2.92,73.8,71.7,76,18.2,21,15.2
Kuwait,KW,1997,"1,801,707","1,052,134","749,573",3.29,101.1,26.6,23.3,28.5,2.95,73.7,72.5,75,12,12.3,11.7
Oman,OM,1997,"2,259,698","1,298,150","961,548",2.63,7.3,19.9,16.7,23.3,4.83,70.8,69,72.6,24.4,25.6,23.2
Qatar,QA,1997,"547,595","358,047","189,548",5.56,47.3,29.2,21.6,31.9,3.31,75,73.5,76.6,10.1,10.4,9.9
Saudi Arabia,SA,1997,"19,810,208","11,199,323","8,610,885",2.68,9.2,20.3,17.3,23,4.69,70.8,69.4,72.2,25.8,27.6,23.9
United Arab Emirates,AE,1997,"2,704,660","1,816,355","888,305",6.27,32.4,28.6,22.2,30.6,2.69,75.1,73.6,76.6,12.8,14.3,11.2
Bahrain,BH,1998,"625,214","357,313","267,901",2.3,822.6,26.8,23.9,28.7,2.85,73.7,72.2,75.4,18.2,20.4,15.9
Kuwait,KW,1998,"1,859,820","1,090,137","769,683",3.07,104.4,26.7,23.6,28.5,2.77,73.6,72.3,74.9,12.2,12.5,11.9
Oman,OM,1998,"2,318,557","1,326,627","991,930",2.51,7.5,20,17.1,23.2,4.54,71,69.3,72.9,23.9,25.1,22.7
Qatar,QA,1998,"578,194","379,250","198,944",5.32,49.9,29.3,22.2,32,3.17,75.2,73.7,76.8,10,10.2,9.8
Saudi Arabia,SA,1998,"20,337,097","11,476,633","8,860,464",2.57,9.5,20.6,17.6,23.2,4.52,71.2,69.9,72.6,24.2,25.9,22.5
United Arab Emirates,AE,1998,"2,876,234","1,940,527","935,707",6.03,34.4,28.8,22.7,30.8,2.61,75.4,73.9,76.9,11.9,13.3,10.4
Bahrain,BH,1999,"639,964","365,566","274,398",2.37,842.1,27.1,24.2,28.9,2.95,74.7,73.3,76.2,16.7,18.5,14.9
Kuwait,KW,1999,"1,916,300","1,126,614","789,686",2.92,107.5,26.9,23.9,28.6,2.66,74.1,72.8,75.4,11.7,12,11.4
Oman,OM,1999,"2,376,079","1,354,315","1,021,764",2.39,7.7,20.3,17.5,23.2,4.25,71.3,69.5,73.2,23.3,24.5,22.1
Qatar,QA,1999,"608,950","400,573","208,377",5.05,52.6,29.5,22.7,32.1,2.97,75.5,73.9,77.1,9.8,10.2,9.4
Saudi Arabia,SA,1999,"20,853,053","11,733,461","9,119,592",2.44,9.7,20.9,18,23.4,4.31,71.7,70.4,73.1,22.8,24.4,21.1
United Arab Emirates,AE,1999,"3,051,363","2,067,374","983,989",5.79,36.5,29,23.1,31,2.53,75.7,74.3,77.2,11,12.3,9.7
Bahrain,BH,2000,"654,862","373,897","280,965",2.24,861.7,27.3,24.5,29.2,2.78,75,73.5,76.6,16.2,18,14.4
Kuwait,KW,2000,"1,972,225","1,162,224","810,001",2.83,110.7,27,24.2,28.7,2.63,74.4,73,75.8,11.4,11.8,10.9
Oman,OM,2000,"2,432,191","1,381,197","1,050,994",2.28,7.9,20.6,17.9,23.2,3.99,71.6,69.8,73.4,22.8,24,21.6
Qatar,QA,2000,"639,897","421,970","217,927",4.86,55.2,29.7,23.2,32.2,2.89,75.6,74.1,77.2,9.6,9.9,9.4
Saudi Arabia,SA,2000,"21,361,821","11,976,885","9,384,936",2.38,9.9,21.2,18.4,23.5,4.1,72.1,70.8,73.5,21.4,22.9,19.8
